idx,cap,R0_mOhm,rmse,rise,railed,pass_,c1,c2,R_end_mOhm
363,1.4859035988304024,165.15093772903722,0.293326967508223,16.24073872765831,False,True,-1.2985324255093635,2.332263081513121,335.87252492731056
366,1.4960918298136696,175.40785462905282,0.3086744728038896,15.940464447459476,False,False,-1.2697665908173428,2.2054482863660017,339.53377346091764
370,1.4808005946928984,173.96530742853054,0.3047090026512375,16.147133291223838,False,False,-1.2915848223313349,2.2620331252415697,342.7896447878053
374,1.4697543268466824,172.06903616416875,0.2932558928791895,16.153684531361648,False,True,-1.291500789956212,2.2753183028519826,341.3535673695736
378,1.4539012274845928,169.15709552403447,0.28582758131817243,16.24588810885666,False,True,-1.3046228882978368,2.3169782296410233,340.4041847038904
382,1.4541462067235693,169.69162500047955,0.2825210146547724,16.31656522367706,False,True,-1.3036759170096939,2.314313879719012,341.18842317979784
386,1.455023751906683,173.8482404636141,0.30518133970204087,16.3449150549892,False,False,-1.295317899182809,2.2945497350360786,347.5629369419319
390,1.449042163761236,176.3527679769506,0.3047590022665204,16.345529219404284,False,False,-1.2930692320837283,2.28319894401786,350.96488333275545
394,1.4386709371480566,172.34583164997466,0.27858193728816294,16.25134662972846,False,True,-1.2824674173140462,2.282869649526574,344.7609863451338
398,1.433445432156979,170.72627801459984,0.27758223039788527,16.379186216446044,False,True,-1.294168505273529,2.3111656856566265,344.3544213727487
402,1.4333958900838095,175.38400696151172,0.29914913493585804,16.466972088182104,False,True,-1.2992675667641638,2.3022728336246923,351.2950896670115
406,1.42806487344776,178.5820222497946,0.29877545433690517,16.33969297558832,False,True,-1.271706034575396,2.253590152336048,353.9288736144473
410,1.4229203181741186,176.1862395065815,0.2915748648253727,16.35075610745764,False,True,-1.266914237067172,2.2670960273121397,352.4045079528028
414,1.417429032731308,174.36947281656145,0.2871901382611425,16.453794392544637,False,True,-1.2917173987425736,2.309430889512536,351.82763768042224
418,1.412409228794446,171.79751944069145,0.28084948712916963,16.579459605000636,False,True,-1.2935938200648767,2.335627609882172,350.81633970468556
422,1.412578792940193,175.7255918720297,0.29732360058371665,16.623953608285717,False,True,-1.288602170555336,2.3185408377060956,356.7121737489863
426,1.4075983731469897,180.40413973886908,0.3031447423118141,16.407221824842964,False,False,-1.2516925428889123,2.2432322930611455,359.282015385584
430,1.4333920485221476,175.40517950681337,0.3026828394276143,16.007544851372757,False,False,-1.2536637343101247,2.2565408151230377,351.3150138900714
432,1.4382550176792908,180.81806580700012,0.3179665704577554,16.150014695181937,False,False,-1.26742904256803,2.2232411075154546,353.64615466578823
436,1.4173547174485526,175.69358893570978,0.2885967566850048,16.169978705118012,False,True,-1.2610068839779613,2.253964711197718,350.1499132617532
440,1.406981663677643,171.68615585094378,0.2751130276298638,16.312234344673243,False,True,-1.271257818118248,2.2955359951703076,347.5405385910243
444,1.4012037783587625,171.0184700754713,0.27354747717439193,16.46984198103229,False,True,-1.280931088462377,2.3217211115494307,349.01278749363365
448,1.3967008232726328,170.96397575715343,0.27453067545508875,16.53174367696448,False,True,-1.2843059434161543,2.3366548217814467,350.8777238860649
452,1.391284788852726,170.76627214650412,0.27141613133469966,16.559595123386828,False,True,-1.2807182023183832,2.3386371623429634,351.42314918300815
456,1.3862287677978349,170.96350679638965,0.27114262867760536,16.614737295186842,False,True,-1.2878197461095382,2.3469498064815695,352.03609607106404
460,1.3804366761974138,169.46986857021645,0.2625733958462958,16.624455012830424,False,True,-1.2885695098987915,2.3598888502907136,351.0262163831665
464,1.3752364150256224,168.7684208347309,0.25849024618809285,16.634933596517783,False,True,-1.2803750169913737,2.3554561841588257,350.2081716867412
