idx,cap,R_mOhm,h,R_over_h,rmse,rise,tau_frac,railed,pass_
213,1.663716375981405,73.70636122357546,7.2389188783072145,10.181957066054501,0.8063619713665101,14.67796740539518,0.9345151790323775,False,False
215,1.659013868748246,78.73357678657077,7.905277153683736,9.95962257311651,0.8076903093843181,15.115677856881007,1.0205993881926707,False,False
219,1.6538540573335014,78.41517127824902,7.683473771122173,10.205692583082309,0.8169990755592921,15.375632472490565,0.9891648253133443,False,False
223,1.642653782130131,79.12794848772174,7.898471257380029,10.018134637609476,0.8045961806474329,15.35457128944563,1.0136971411656448,False,False
227,1.6378578430223698,79.02290395851864,7.719664151865059,10.236572783989162,0.8106743021134506,15.462157921153619,0.9879900658504526,False,False
231,1.6327350407099108,79.53706838645223,7.736719081626146,10.280464825890343,0.809763697478905,15.475354015335483,0.9902122033345332,False,False
235,1.6277528915533617,79.56596470827733,7.6251215220144015,10.43471431616707,0.809442718638795,15.519413924501066,0.9732668140412999,False,False
239,1.622125485521159,79.6383043662675,7.51529311431228,10.59683277217793,0.815399778497726,15.643852566505302,0.9561362788624981,False,False
243,1.6113256603765849,80.84956244016351,7.880369953593307,10.259615083591038,0.7972312589255447,15.527397208594664,1.0026677066117562,False,False
247,1.6065631397488385,80.94882412765325,7.732276882625696,10.468950524721118,0.8053808691674202,15.656774387253904,0.9811547057333124,False,False
251,1.6015142233917594,80.865845532512,7.605275123455677,10.632862614412332,0.8097480097584565,15.712680942665088,0.9622977659996722,False,False
255,1.590369231400328,81.9728584142744,7.92925113024914,10.33803281895787,0.7940401367769012,15.632547898674716,1.0001771558902104,False,False
259,1.5857889968242211,81.84759265716765,7.814839294257032,10.473355826691893,0.8003784446501948,15.758326936067931,0.9858143487507975,False,False
263,1.5849430707374117,80.00182815744854,7.628728090012255,10.486915671065688,0.7997529243525184,15.528747201881458,0.9621974494628177,False,False
265,1.5955263892495937,82.24292702774876,7.907657630502247,10.400415757823495,0.7960682805570473,15.366072616583722,0.9971188845547172,False,False
269,1.5747301747801037,81.70021659545249,7.922062633549593,10.312998063087205,0.7924057789089013,15.59463590466521,0.9934836290814129,False,False
273,1.5649019950937946,82.25925372790248,8.015546607254965,10.262463404984592,0.7969136438352722,15.856810605948965,1.00237859437718,False,False
277,1.5597659473370362,83.03228853700152,7.93053509810084,10.469947804264258,0.7966837341658327,15.965795188082268,0.9919676717791402,False,False
281,1.5594815668184234,84.052447432418,7.666400635541094,10.963743147306257,0.8065035448613855,16.051299490293786,0.9584791170009133,False,False
285,1.55468935359061,84.63766413700665,7.741236879332294,10.933351537526768,0.7915107833206061,15.810713669279608,0.965396670965753,False,False
289,1.5488741079890418,84.50105776044762,7.702347708593231,10.970818373490571,0.7993431363858703,15.904884716256163,0.9602649150839593,False,False
293,1.538236598942558,84.63834003240743,7.904969762472876,10.706978340917829,0.7937783293837435,15.87460524758319,0.9796423018329736,False,False
297,1.527914258251028,84.9710124982627,8.045170232222878,10.56174201981867,0.7908365746989878,15.95152377176504,0.9940765115904657,False,False
301,1.5285252629756445,86.14159352596846,7.8361630553875825,10.992828112062279,0.7940353118611293,16.213424307696982,0.9684585692030789,False,False
305,1.522647325284378,87.59810986301852,8.037345549969938,10.898885623170223,0.7880617144611769,16.00339816781991,0.9932463950519579,False,False
309,1.5174859938489869,87.66240677955145,7.939094350896682,11.041864840622583,0.7824877560563657,15.997992661194758,0.9781374827810538,False,False
312,1.605818899130659,82.64204304667278,7.5953031668364845,10.880677338531303,0.822835488311119,15.977345940157363,0.9750279407043657,False,False
315,1.5638491446744425,85.32639511165988,7.594834123812074,11.23479377174758,0.8062986618970089,15.795681431404432,0.9460361668348617,False,False
319,1.5480915247767786,85.70206006443746,7.550502820616833,11.350510303820545,0.7967327785299074,15.833474434652146,0.9378688527000578,False,False
323,1.5323755631868592,86.9943390107121,7.9644002753074625,10.922898900552022,0.781756181038794,15.776074449856253,0.986620252286573,False,False
327,1.5269528268489705,86.69617520766778,7.80364816001181,11.109698109138812,0.7997168294883895,16.026041378501418,0.9636912715653342,False,False
331,1.5169573017136326,87.5222425324429,7.994400125315097,10.947943705656495,0.7901368311865176,16.035573712016458,0.9845932264883985,False,False
335,1.5118975960142693,87.49692056455352,7.801936803544566,11.214769199976347,0.79330615888934,16.11145758817611,0.9580519906341459,False,False
339,1.5065638960681105,88.44198273409594,7.982906420467283,11.078920142085162,0.79356341772408,16.108291919629153,0.9802193053899733,False,False
343,1.5015453526671363,88.55822825983259,7.8904079080997,11.22352979608638,0.7955193594227404,16.17334098190173,0.9660967622023285,False,False
347,1.4908444050400238,90.10043814244493,8.245757750796498,10.926883964513959,0.7818479703169734,16.085552784816116,1.0064821884911606,False,False
351,1.485868384561201,90.61520512589631,8.266394276223949,10.961877947985917,0.7854441117505212,16.112565173909843,1.0092515920880696,False,False
355,1.480413677976106,90.9546227220064,8.243114755093515,11.034011465848453,0.787888780048528,16.170034126178848,1.0032503461717885,False,False
359,1.4752095869031632,91.2892082800626,8.255308014280741,11.058243753248536,0.7857611467606288,16.19103513083371,1.0015242954063814,False,False
363,1.4859035988304024,89.56504283571843,7.79597125419395,11.488631745215283,0.7844939588245424,16.24073872765831,0.9487460774800881,False,False
366,1.4960918298136696,91.52021815664173,8.091982141622587,11.309987658758017,0.7831418458012971,15.940464447459476,0.9874212600297292,False,False
370,1.4808005946928984,91.88150112235404,7.983595882751725,11.508786575841187,0.7895573009267052,16.147133291223838,0.9684092128691945,False,False
374,1.4697543268466824,92.61310876207466,8.180772606831793,11.320826676533354,0.7874008904776439,16.153684531361648,0.9891968776882154,False,False
378,1.4539012274845928,92.56677022075354,8.133976389406923,11.380260501039258,0.7842458203493727,16.24588810885666,0.9742590997637318,False,False
382,1.4541462067235693,94.18232818457058,8.496539539301766,11.084786665079221,0.7918853195781952,16.31656522367706,1.0241763090127036,False,False
386,1.455023751906683,93.81030116480018,8.094658338576789,11.589161301314913,0.7905986517750332,16.3449150549892,0.9730914210421215,False,False
390,1.449042163761236,95.05529102734731,8.226947394861758,11.554138669552605,0.7937723258936321,16.345529219404284,0.9888907109294068,False,False
394,1.4386709371480566,95.8202643175475,8.6339391781147,11.098093505271915,0.7862902736544247,16.25134662972846,1.0347645287710194,False,False
398,1.433445432156979,95.99394654893713,8.640471701726172,11.109803939264067,0.788854055366758,16.379186216446044,1.0320943951371107,False,False
402,1.4333958900838095,96.6702662628327,8.47998198569962,11.399819766817245,0.7959941191466073,16.466972088182104,1.012918943981057,False,False
