idx,cap,R0_mOhm,beta,h,R_end_mOhm,rmse,rise,tau_frac,railed,pass_
177,1.7263217239235826,144.7430923026669,2.3601418965608727,74.58342901833117,486.35732868396855,0.8330218245747935,14.840646651769987,9.816667913920872,False,False
181,1.7158065389330133,137.10894526271966,2.4027466157675463,71.82860697085265,466.5469994841771,0.8496883587922744,14.867707224154742,9.427955951727803,False,False
185,1.710533351135192,132.83061042037596,2.49450963464288,71.56166222419287,464.1778478894987,0.8570181834044788,14.988636771073914,9.364504182432334,False,False
189,1.706014499648521,131.48916317789133,2.3889813611757558,66.58113720745648,445.6143232064712,0.8700451876824902,15.183155569322025,8.71645276409568,False,False
193,1.7003110272642588,146.50855640567434,2.057866716611223,66.39628823116553,448.00363833166955,0.8889448238444775,14.884493588522957,8.665343360892198,False,False
197,1.6945798601797895,134.2523129755158,2.11780085676217,62.07269720513983,418.57197641736616,0.8931029201329295,15.026593610097109,8.100251234420764,False,False
201,1.6849029086609286,130.79687703093495,2.1722046779870565,61.807493031483574,414.9144651836296,0.8792981770006434,14.958476185200652,8.022410316418465,False,False
205,1.6744741591159717,116.60199617486458,2.104678233243475,53.764822970443916,362.011679476841,0.8717490749527902,15.110608773944989,6.980127301020883,False,False
209,1.6745692479879102,122.83057904421044,2.152841192568524,56.15112349745685,387.26530931763074,0.8978388044964376,15.315496776048121,7.268060764110539,False,False
213,1.663716375981405,110.72327310807376,1.8574340457979603,45.879432895659214,316.38445024119574,0.8473787660831676,14.67796740539518,5.922849415383562,False,False
215,1.659013868748246,113.64590821972764,1.7525376929642884,43.931497023372536,312.81464602596037,0.8524874050182961,15.115677856881007,5.67171246659569,False,False
219,1.6538540573335014,109.85955055225773,1.8312966693687158,43.57633896535593,311.0449795769514,0.8685336757944054,15.375632472490565,5.609986186517039,False,False
223,1.642653782130131,101.4185988205691,1.666419182520362,37.36116643708963,270.42449735950237,0.8228742222247291,15.35457128944563,4.794966820003884,False,False
227,1.6378578430223698,99.63021138590558,1.6226404632687845,35.678624825249706,261.29422374469834,0.8280367807419053,15.462157921153619,4.56627726246817,False,False
231,1.6327350407099108,91.32263104886623,1.1828414054559868,25.675708065746413,199.34282030864568,0.7936301433581203,15.475354015335483,3.28619912235629,False,False
235,1.6277528915533617,89.60892274840789,1.0592493985961526,23.212970261130092,184.5271202785081,0.7916963067582801,15.519413924501066,2.9628922693571798,False,False
239,1.622125485521159,88.12068386087519,0.9877273427765041,21.620383909766247,175.1598927744258,0.7964524201980298,15.643852566505302,2.750662296816378,False,False
243,1.6113256603765849,84.68811710603174,0.7129320903131681,17.012309334028735,145.06499345912133,0.7698715889414727,15.527397208594664,2.164580252522582,False,False
247,1.6065631397488385,84.34796067831542,0.673714233139127,16.243782149338962,141.17438232355593,0.780371446742756,15.656774387253904,2.0611863150610117,False,False
251,1.6015142233917594,83.92985035117701,0.6356092960992872,15.557692670056188,137.27644345460712,0.7870574308996828,15.712680942665088,1.968519567994534,False,False
255,1.590369231400328,84.73084764638719,0.6747474106171901,16.328559045214654,141.90276769518658,0.7664207878763736,15.632547898674716,2.0596461730573314,False,False
259,1.5857889968242211,83.8883868022193,0.6449337127828557,15.616010005799184,137.99083556193892,0.7735574787294975,15.758326936067931,1.9699044541153854,False,False
263,1.5849430707374117,82.00390276933602,0.6721810749910686,15.663168357800037,137.1253742862914,0.771618332584657,15.528747201881458,1.9755666300537522,False,False
265,1.5955263892495937,86.74611896541201,0.5807021137436817,15.506959738325694,137.11977360768762,0.7740302659568741,15.366072616583722,1.955355570462672,False,False
269,1.5747301747801037,83.68254593569354,0.6878280214821847,16.294291259767302,141.24174593923362,0.7632170168680253,15.59463590466521,2.04342131120085,False,False
273,1.5649019950937946,82.57873880762754,0.7518219726597855,16.835882217460767,144.66324911773526,0.7633187305164931,15.856810605948965,2.1053995166048294,False,False
277,1.5597659473370362,83.35431458666028,0.7178782578590639,16.256128004859526,143.19256472716833,0.7634637315889417,15.965795188082268,2.0333499883237187,False,False
281,1.5594815668184234,85.5968832241191,0.5966054821277986,14.685348971302794,136.66445300868153,0.7802435139433809,16.051299490293786,1.83601157622923,False,False
285,1.55468935359061,87.16979872643101,0.572639561524143,14.659989993634051,137.08667404728226,0.7657287576435442,15.810713669279608,1.8282227707087397,False,False
289,1.5488741079890418,86.51260132163515,0.591572492489315,14.720535281642904,137.69107651720924,0.7714858880618174,15.904884716256163,1.8352344112492684,False,False
293,1.538236598942558,86.16915152673745,0.6362661193760262,15.459418960398128,140.99566317857946,0.762982328012861,15.87460524758319,1.9158455035793949,False,False
297,1.527914258251028,85.2666435850782,0.7235492893994845,16.419903644923682,146.96126296054067,0.7529338468948001,15.95152377176504,2.028874475597935,False,False
301,1.5285252629756445,86.90073460953259,0.6429889781713887,15.281013044212994,142.776949158459,0.7612100333814874,16.213424307696982,1.8885553968402118,False,False
305,1.522647325284378,89.4009168076172,0.6401271366894693,15.613481486504506,146.62886970109062,0.752261668683986,16.00339816781991,1.9294970092133328,False,False
309,1.5174859938489869,89.62966097627088,0.6459243476922798,15.596468007969529,147.52364127624884,0.7462085241592669,15.997992661194758,1.9215655191032612,False,False
312,1.605818899130659,84.97513196055104,0.6640509364278099,15.39476355570282,141.40294791203166,0.7927858278787715,15.977345940157363,1.9762640513004672,False,False
315,1.5638491446744425,88.7245921570747,0.4640847185475014,13.383413383754563,129.90031953653255,0.7887405645503612,15.795681431404432,1.6670796083665513,False,False
319,1.5480915247767786,88.9196660573888,0.5094726010210484,13.768678990190299,134.22179960556971,0.7749967373346227,15.833474434652146,1.7102457246245,False,False
323,1.5323755631868592,89.8065228001662,0.6196845815114267,15.469356621766288,145.45824029858363,0.7491416462591637,15.776074449856253,1.916325147569109,False,False
327,1.5269528268489705,88.66265503478567,0.6103844908239494,15.047335157282872,142.78096458329279,0.7690545758024766,16.026041378501418,1.8582315929745532,False,False
331,1.5169573017136326,89.06785163230973,0.6647926453178591,15.832791937350315,148.2795043317315,0.7532203859427175,16.035573712016458,1.9499724123829514,False,False
335,1.5118975960142693,89.0542146915599,0.6490159788835771,15.40191487729926,146.8518230133109,0.7578929271035661,16.11145758817611,1.8913041183658872,False,False
339,1.5065638960681105,89.93421240236611,0.6611794304853075,15.727990056563256,149.39686373970724,0.7547408713341582,16.108291919629153,1.9312364039365009,False,False
343,1.5015453526671363,90.04651645295472,0.6475602654964946,15.4551705149903,148.35706255426453,0.7577333941390222,16.17334098190173,1.8923217110854036,False,False
347,1.4908444050400238,91.47606042595143,0.6986040085753109,16.469474882836355,155.38160292819845,0.7362013793194623,16.085552784816116,2.0102740856989345,False,False
351,1.485868384561201,91.87684884483745,0.7191511172850764,16.659680941523074,157.95018734423442,0.7352240944532805,16.112565173909843,2.033995591315045,False,False
355,1.480413677976106,92.09517358676757,0.7143786853442179,16.559214682858,157.8860026202301,0.7379970273487557,16.170034126178848,2.0153835481478484,False,False
